SKU;DESCRIÇÃO;UNID.
5001739;PINCAS;UN
5001742;BUCHA P/ TIJOLO UNICA .;UN
5001743;HUB USB MD9 UNICA .;UN
5001582;MARCADOR PERMANENTE . .;UN
5001603;CANETA ESFEROGRAFICA UNICA .;UN
5001851;CORREIA DO PONTO;PC
5001778;BANDEJA PARA PRATELEIRA KIT COM 5 UNICA .;UN
5001766;ESPUMA PARA HEADSET UNICA .;UN
5001767;LANTERNA DELIMITADORA SUPERIOR VERMELHA UNICA .;UN
5001768;PARALAMA PLASTICO UNICA .;PC
5001769;PRODUTO NCM 33071000 UNICA .;UN
5001785;CONTACT TRANSPARENTE - PLASTCOVER UNICA .;MT
5001779;PARABARRO BORRACHA M2010 UNICA .;PC
5001780;SUPORTE DO PARALAMA DE PLASTICO UNICA .;PC
5001781;TUBO GERAL UNICA .;PC
5001790;CAMERA HDCVI VHD BFULL HD G4;UN
5001792;PIJAMA JUVENIL FEM SWEET . .;
5001794;ALMOFADA GERAL . .;UN
5001796;MASCARA GERAL . .;UN
-25977;SO/ CONSUMO FOTOCONDUTOR DR 620 . .;UN
5002125;MATERIAIS DE ESCRITORIO;UN
5002178;ANEL ORING U . .;UN
5002186;TORNEIRA U . .;UN
5001954;PRENDEDOR DE PAPEL U. . .;UN
5001955;PASTA A/Z OFICIO LARGA U. . .;UN
5002269;BOBINA DE ACO REVEST GALVAN SEG QUALIDADE MD ACAB;KG
5001922;RADIADOR DE AGUA UNICO . .;UN
5001949;DISSIPADOR DE CALOR AUTOADESIVO RASPBERRY PI X3 . .;PC
5002222;ADESIVO DECORACAO LOJA;PC
5002241;GANCHO LATONADO U . .;UN
5001999;VELCRO 20MM 3M - PRETO . .;UN
5002003;SACOLA REEXT 60X80 C/5KG . .;FD
5002133;MASSA P/ TRATAMENTO DE JUNTA 28KG . .;UN
5002266;ALICATE PRESSAO 137 UNICA U;UN
5001880;ESTOPA P/ LIMPEZA UNICA . .;UN
5001834;VELA AUTOMOTIVA . U;JG
5002268;PEN DRIVE MULTILASER TWIST, USB 2.0 . .;UN
5001994;USO/CONSUMO CAIXA PLASTICA 130L PRETA . U;UN
5002236;PLATO ALUMINIO USINADO UNICA U;UN
5001865;RASPBERRY PI 3 MODEL . .;UN
5001838;ADOCANTE LIQUIDO UNICA . .;UN
5001969;PAPEL TOALHA FD;FD
5001934;ALIMENTACAO PROTEINA . .;UN
5001931;GANCHO PARA BUCHA 6;CT
5001848;SMARTPHONE LG K11 . .;UN
5001913;RASTREADOR INTELIGENTE 4484 MAX TURBO . .;PC
5001914;TERMINAL TVC200 UNICO . .;PC
5001822;PURIFICADOR ULTRA FRESH 400 ML . .;UN
5001935;MEMORIA KINGSTON UNICA . .;UN
5001915;BOTAO TRAVA DE BAU UNICO . .;PC
5002143;RESERVATORIO 25L . .;UN
5002084;CANETA RETROPROJETOR U. . .;UN
5001932;BONECA MY LITTLE COLLECTION;UN
5002010;CABO IMPR 351/451/RL4/FUJITSU/PRT TI400P C3 6101;UN
5002575;GARRAFA TERMICA MOR PRESSAO 1,9L . U;UN
5002850;DISJUNTOR CX MOLD 3P 100A 39KA EM 220V BR . .;PC
5002578;BROCA A/R IRWIN 4.00MM . .;UN
5002580;PLUG C/ ROSCA 1/2 AMANCO . .;UN
5002869;ADESIVO PORTAS SEX SHOP ESTOQUE PASSAGEM 85X2,14 . .;MT
5002823;FUSIVEL 10A . .;UN
5002299;CALCADOR GALONEIRA COM GUIA MOVEL 64042 A;UN
5002417;CANETA TOUCH SCREEN UNIVERSAL TABLET . U;UN
5002470;MEMORIA NOTEBOOK 8GB DDR3 1333 MHZ DELL UNICA U;UNI
5002885;ADESIVO DISPLAY TAMANHO A5 COM PS E DOBRA . .;UN
5002460;JALECO AZUL PRODUCAO UNICA G/50;UNI
5002462;JALECO AZUL PRODUCAO XGG UNICA U;UNI
5002466;JALECO BEGE UNICA G/50;UNI
5002468;GRILL MONDIAL PREMIUM G 03 - 2 EM 1 REDONDO 12 UNICA U;UNI
5002292;DIFUSOR DIRECIONADOR AR CONDICIONADO 100CM UNICA U;UN
5002438;CABIDE 40 ADULTOS 30 INFANTIL 20SILHUETA 80SAIA UNICA U;UNI
5002652;ASSESSORIA BOLETIM INFORMATIVO COMPLETO . .;UN
5002673;MOTOR CJ GRAND KDZ 220V UNICA U;UNI
5002322;ALIMENTACAO AMIDO MILHO . .;UN
5002716;REPARO CAIXA DIRECAO HIDRAULICA . .;PC
5002317;MANEQUIM PLASTICO FEMININO . .;PC
5002445;PLACA FTLM LUXNORTE 14X18 LE 21 CO2 . .;UN
5002448;PLACA FTLM LUXNORTE 12X24 ROTA DE FUGA  DIREIT . .;UN
5002486;TERMINAL U. . .;UN
5002350;CABO P/ ROLO U. . .;UN
5002352;TINTA ACRILICA U. . .;UN
5002353;TINTA ESMALTE . .;UN
5002366;PRODUTO NCM 61062000 . .;UN
5002428;CAIXA DE SUPERFICIE BR RJ 45 . .;UN
5002433;KEVISTONE RJ45 BRANCO . .;UN
5002662;KIT CABIDES EM ACRILICO UNICA U;UNI
5002663;MEMORIA MEMORIA KINGSTON 8GB DDR4 UNICA U;UNI
5002435;SERRA COPO AR 60MM IRWIN;UN
5002788;TRAVESSA PERFIL T 125 ALMA 38 UNICA U;UNI
5002798;SOBRE CAPA BANCO MOTORISTA CURVIM . .;UN
5002805;ABRACADEIRA PLASTICA 20CM 206X4,70 . .;UN
5002939;HASTE QUADRADA FRISADA 30X30 1 20M . .;UN
5002680;TABLET SAMSUNG GALAXY TAB A 8' UNICA U;UNI
5002610;CADERNO 96 FOLHAS 1/4 C/ ESPIRAL E CAPA DURA;UN
5002657;MICROONDAS ELECTROLUX MTD30 20LITROS UNICA U;UNI
5002754;MALA BMW BOARDCASE 36X55X23CM . .;UN
5002390;TAMPA CAIXA GORDURA U. . .;UN
5002393;PARAFUSO PHILIPS U. . .;UN
5002394;FUNIL ALUMINIO U. . .;UN
5002906;PISTOLA ETIQUETAS FIXPIN COM AGULHA . .;UNI
5002931;PLACA FOTOLUMINESCENTE MANGOTINHO 300X300X2MM . .;PC
5002275;BOBINA FILME PLASTICO 0,03/035K/200CM UNICA U;KG
5002586;ESTILETE RETRATIL UNICA U;UNI
5002277;OLEO LUBRIFICANTE 68 HIDRAULICO UNICA U;LT
5002455;CASE F3 CADDY PARA NOTEBOOK, 2.5, SATA UNICA U;UNI
5002948;LOUSA QUADRO BRANCO MOLDURA ALUMINIO 100X80CM BRANCO .;UNI
5002793;MDF BRANCO 18MM 2F DURATEX . U;UN
5002493;GRAMPO 26/8 . .;CX
5002638;FORMAS PLASTICAS USADAS . .;KG
5002402;FONTE DE ALIMENTACAO PARA NOTEBOOK LENOVO IDEAPAD B3 UNICA U;UNI
5003396;PASSADEIRA A VAPOR PORTATIL . .;UNI
5003397;KIT CONVERSOR FIBRA OTICA TP-LINK MC220 . .;UNI
5003398;REGUA REGUA 100X0,35CM . .;UN
5003593;CORRETIVO FITA 12 METROS . .;UN
5003601;JOELHO 90 PPR IND AZ . .;PC
5002974;USO E CONSUMO CHAPA ACRILICO LEITOSO 2X1220X2440MM . U;UN
5003017;IPHONE 6S 32G - USADO CINZA .;UNI
5003205;PARAFUSO FRANCES 3/16 C/ PORCA . .;UN
5003215;ABRACADEIRA U 1/4 . .;UN
5003316;LIXA LIXA DAGUA 3M 100 . .;FL
5003319;TINTA SEMI BRILHO AC GLASU BRANCO 18L . .;UN
5003342;OCULOS POLICARB AMPLAVISAO PERFURADO AE PROTCA . .;UNI
5003348;CA60 5,00 NERV RETO 12,0 M FX 2500KG . .;KG
5003409;MEDALHA APN 45 - 4,5CMX4CM OURO . .;UN
5003434;MODULO PEZZI TOMADA UNIVERSAL 2P T NBR . .;PC
5003436;FIO FLEXIVEL 02,5MM2 BRANCO . .;MT
5003523;PINO PLASTICO PARA ETIQUETADORA TAG . .;UNI
5003240;PONTEIRA PARA ESTANHADOR 350W;UN
5003537;JAQUETA IMPERMEAVEL FEMININA . .;UN
5003557;QUADRO QUADRO DE COMANDO 40X40X20 . .;PC
5003558;BOTAO DE ACIONAMENTO BOTAO PLANO ILUMINADO 1NA 1NF . .;PC
5003570;CABO CABO FLEXIVEL 0,75MM CINZA 750V . .;MT
5003574;DISCO DE CORTE ACO CARBONO OITAVADO 4 POL . .;UN
5003089;PALHETA LIMPADOR U . .;PC
5003274;CONECTOR BNC SOLDAR MOLA NIQUEL;UN
5003058;"ELETROCALHA PERFURADA 50X50MM 3000MM TIPO U"" ACO . .""";UN
5003064;"LUVA 3/4 ZINCADA S/ ROSCA . .""";UN
5003428;LETREIROS LETRA CAIXA LOGO LED . .;UN
5003150;CONTAINER DE PLASTICO 1000L PRETO_ .;UN
5003525;CAIXA DE DESCARGA ASTRA BRANCO .;UNI
-51383;SO E CONSUMO P BANHEIRO ATENAS C/ TAMPA . .;UNI
5002989;CILINDRO FREIO;UN
5003634;ESTILETE LAMINA RETRATIL 19MM . .;PC
5003635;LUVA BANHO PU VENTIL NY . .;PR
5002990;MEMORIA ADATA 4GB . .;UNI
5003041;COOLER NOTEBOOK NOVO . .;UNI
5003648;ELETRODUTO PZ S/R LEVE III S/L 0,6 UNICA .;PC
5003664;CJ PANELAS TRAMONTINA TURIM 10 PCS VERMELHO . .;PC
5003665;ESCOVA SECADORA MONDIAL GOLDEN ROSE 220V . .;PC
5003666;FOLHA A4 VERDE PCTE 100 FOLHAS . .;PA
5003193;COROA DE FLOR NATURAL . .;UN
5003572;CAIXA DE FERRAMENTA TRAMONT 43803 . .;UN
5003597;CABO FLEX COB PVC BR BB . .;MT
5003609;CAPA ISOLACAO CAPA 2 TRAMAS 1/2 . .;PC
5003702;APARELHO BLINDADO ARTICULAVEL 100W UNICA .;PC
5003671;GRAMA SINTETICA VERDE . .;M2
5003104;ELEMENTO FILTRO AR 20/40/60 LARANJA (007.01 18-0) 78X109;PC
5003232;OLEO IPIFLEX LI 40/500 . .;UN
5003807;CESTO ORG MED - PRETO S/ ETIQUETA . .;PC
5003833;ROLO FIBRA ESPECIAIS 23 CM UNICA .;UNI
5003194;SUPORTE ODERY SOLUTIONS PARA TABLET E IPAD . .;UNI
5003497;CABO 4 PARES 300M FTP EXT DC BRINDADO CFTV . .;UNI
5003389;LONA INTERNA E EXTERNA IMPRESSAO E INSTALACAO . .;UNI
5003126;COPO PLASTICO 50ML PCT C/ 100 DUDIGO;PCT
5003289;SAPATO ELASTICO C/ BIQ. COMPOSITE CONFORTO PRETO 37;UNI
5003465;PATCH CORD CAT5E 1.5M PRETO .;UNI
5003074;TUBO PPR AZUL PN20 50MM3M TF . .;UNI
5003078;ADAPTADOR 32X1 PR AZUL TF . .;UNI
5003441;ADAPTADOR PVC 3/4 BRANCO VICAP . .;PC
5003460;CABO HDMI PREMIUM 1.4 ULTRA HD 5M . .;UNI
5003773;KIT 50 CABIDES SILHUETA UNICA .;UNI
5003449;ADESIVO TESTEIRA CREMALHEIRA . .;UN
5003450;ADESIVO TESTEIRA MAIS LUCRO AQUI . .;UN
5003785;PARAFUSO R/ METRI ABAOLADO GAL C/TR 1/4 X1/2 UNICA .;PC
5003786;CABO ACO S/CAPA 1/8 UNICA .;UN
