SKU;DESCRIÇÃO;UNID.
5008091;RETENTOR SR-07400424 U U;PC
5008095;PARAFUSO SM410 U U;PC
5008489;CERA AUTO ESPELHAMENTO MEN 250ML . .;UN
5008512;ACO TREFILADO REDONDO 1045 40MM U U;KG
5008216;CAIXA PK-60 LEVE PRETA . .;PC
5008234;SUCO TRINK GUARANA U U;UN
5008264;TORNEIRA LAVAT BICA ALTA U U;UN
5008269;ROLAMENTO 6208 ZZ C3 U U;UN
5008533;LUMINARIA LUMINARIA TARTARUGA PHARE BR 24W 6500K UNICA .;PC
5008315;RESICOLOR ESM STAND A/BR CINZA CLARO 3,6L U U;GL
5006967;ROLAMENTO 1 LINHA U U;PC
5007905;APARELHO AQUECEDOR ESTUFA 700 FOLHAS A4 BIVOLT U U;PC
5007906;ALICATE DE CRIMPAR EZ DE PASSAGEM RJ45/RJ12/RJ11 U U;PC
5008708;LUKSCOLOR R ESMALTE ALTO BRILHO VRML U U;GL
5008419;LIXA MADEIRA 50 FOLHAS G80 225MMX275MM U U;PCT
5006871;ARRUELA LISA 3-16X14X1 STANDART U U;UN
5006872;ARRUELA PRESSAO ACO 3-16X8,97X1,42 U U;UN
5007647;LAMPADA LED TKL LUZ NEGRA 7W U U;PC
5007648;TERMINAL COMPR P/ CABO 185YA185 U U;PC
5007021;KRAFT DEMARC. VIARIA AMARELA 18L U U;BD
5008325;BROCA ACO RAPIDO 4.00MM U U;PC
5007085;SAIDA PZ HORI EL P/ ELETRODU 1' U U;PC
5007091;CONDUITE PVC MULT X S/TP BR GD U U;PC
5007098;TP P/ CONDU PVC CEGA BR P/CX GD U U;PC
5007119;QUEROSENE 5L U U;UN
5007229;PRODUTO NCM 22089000 . .;CX
5007242;ESTANTE EDR 300 SMART CSM . .;PC
5007422;MANUTENCAO DE VEICULO VALVULA SEGU JEDAL B TR414ZN LL . .;UN
5007390;BLOCO BLOCO POST IT 76X76 NOTAS ADESIVAS . .;UN
5008520;EMBALAGEM 12X18 . .;KG
5008630;ADESIVO ADESIVOS IMPRESSO + RECORTE INSTALADO . .;M2
5007598;TAMPA . U U;PC
5007606;BOTINA ELASTICO BI C/ BICO COMPOSITE U P/32;PR
5007612;BOTINA ELASTICO BI C/ BICO COMPOSITE U G/38;PR
5007903;PASTA THERMAL SILVER 50G POTE U U;UN
5006850;REBITE REBITE ALUMINIO . .;PC
5007291;BOTA DE BORRACHA CURTO U 39;PC
5007296;BOTA DE BORRACHA CURTO U 44;PC
5007304;BOTA DE BORRACHA C/ POLAINA U 43;PC
5007949;EXAUSTOR 50CM 220V U U;PC
5006833;FILTRO FILTRO OLEO MOTOR . .;UN
5006839;LIMPEZA MATERIAL DE LIMPEZA . .;UN
5006986;ETIQUETA 100X75 . .;UN
5008760;BOTINA DE PROTEAO MOD ELASTICO S/ BIQUEIRA U 41;PC
5008766;SERRA COPO DIAMANTADA S/ HASTE 35X50X7MM U U;PC
5008774;HASTE PARA SERRA COPO DIAMANTADA 200MM U U;PC
5008317;PORTA DE CORRER U U;UN
5007373;MATERIAL ELETRICO GRAFITE EM PO VONDER 25G . .;PC
5007375;MATERIAL ELETRICO PAINEL LED GLIGHT QUAD. SOBREPOR 12W . .;PC
5007521;PLACA SINALIZACAO SAIDA 15X30 FOTOLUMINESCENTE . .;UN
5007850;CURVA 90 1.1/8 PAREDE U U;PC
5008226;ADAPTADOR BIT ENCAIXE 1/4 U U;PC
5008448;FECHADURA P GAVETA 31MM U U;UN
5008572;CONDUITE C ALMA ACO 1 U U;M
5006680;ETIQUETA BRANCA TALAO 100X70MM AZUL U;UN
5007748;CHAPA TENSOR BARRA AG. ORIG U U;UN
5007935;TUBO SOLDAVEL 60MM U U;MT
5007936;VEDADOR LIQUIDO 104S HS U U;PC
5008371;TE SOLDAVEL 20MM U U;PC
5008438;PARAFUSO ROSCA SOBERBA CABECA SEXT ZINC 1/4X70MM U U;PC
5006974;INTERRUPTOR EMB 1 SIMP 1TOM 2P T 10A ARIA U U;PC
5007005;TECLADO PARA NOTEBOOK LENOVO IDEAPAD U U;UN
5007282;PATCH PANEL 24 PORTAS CAT5E NETPLUS U U;PC
5007283;CASE SSD M2 EXBOM CGHD-M2NV720 U U;UN
5008599;CABO COBRE ISOLADO PVC 70G 750V 1X4,00 AZUL U U;M
5008616;MANIPULO C PORCA U U;PC
5006922;SPOT P/ TRILHO PRETO 10W 3000K APOLLO U U;UN
5008451;ABRACADEIRA PLASTICA FRONTEC 19CM U U;PC
5008678;TINTA RESICOLOR EPOXI CATALISADOR 0,9L UNICA .;PC
5007596;EMBOLO . U U;
5008107;PARAFUSO SM540 U U;PC
5007185;BALCAO MAD GRAFITE BRANCO NEVADA . .;PC
5007189;ROUPEIRO CARVALHO VERMONTT . .;PC
5007190;ROUPEIRO BRANCO ARTICO S/ ESPELHO SEM PE . .;PC
5007954;BUCHA SFORBOLT 1/4 U U;PC
5007961;ARRUELA DE PRESSAO M12 U U;PC
5008595;BOMBA AGUA PERIFERICA 1/2 HP BP500 LARANJA NA U U;PC
5008604;GUIA BARRA GAL FECIL REGULAVEL ORIG U U;UN
5008606;CONEXAO INSTANTANEA PU -TEE 10X10X10 U U;PC
5008641;BROCA A/R IRWIN 5.00MM U U;UN
5008644;TARJETA 2.5 ZINCADA U U;UN
5008330;CAIXA DE SOM JBL CHARGE 5 40W RMS U U;UN
5008567;CAIXA DIO-DISTRIB.INT.OPTICO MINI PAREDE 12F U U;UN
5007278;REGUA PARA RACK COM DISJUNTOR DJ 5000 U U;UN
5006673;JOGO DE CHAVE COMB 8-19MM U U;PC
5006868;PARAFUSO SEXT 1-4X1-2 U U;UN
5007654;CONTATO 1NA P/ BOTAO M20 METALTEX U U;PC
5007684;ABRACADEIRA PLASTICA FRONTEC 20CM F7020NYNA U U;PC
5008675;CONJUNTO FLANGE PARA NAVALHA U U;UN
5008683;PARAFUSO R METRI FEND GAL S/TR 1/4X1/2 U U;PC
5007529;CABO COAXIAL FRAPA 4MM BIPOLAR 80% 100M BLIND . .;UN
5007532;RACK MINE RACK CX 5U 350MMACR PRETO 2 CHAVES . .;UN
5007534;ELETRODUTO CORR 20MM KRONA . .;MT
5007014;NEW TINNER FORTE 137 5,0L U U;GL
5008657;DISCO DE CORTE INOX 115X1.2X22 U U;PE
5007553;MODULO DE CONTROLE DE RELE U . .;UN
5007914;UNIAO PVC SOLDAVEL 32MM CLASSE 15 MARROM U U;PC
5007208;PLACA 0300591 . .;PC
5008694;GRAVADOR DE AUDIO TASCAM DR-05X PRETO U U;UN
5008701;FLUIDO ROSA PARA RADIADORES U U;UN
5008631;CONECTOR ADAPTADOR PVC P/ CONDULETE MULT 1 S/ ROS U U;UN
5008632;CURVA 90G PVC LEVE P ELETRODUTO 1 S ROSCA BCO U U;PC
5006990;KIT PORTA FRISO UV BCO VIVACE 210X70 D U U;UN
5007658;BOBINAGEM DE TRANSFORMADOR U U;UN
5007281;KIT 10 FITA COMPATIVEL COM BROTHER MK231 T U U;UN
5008637;MODULO P RJ45 S CONECTOR PVC BCO U U;PC
5008638;PLUGUE FEMEA RJ11/RJ45 U U;PC
5008660;CABIDE MD O.V-3533 U U;UN
5008686;PINO . U U;PC
5006830;RETENTOR RETENTOR TRUCK/CARRETA . .;UN
5008748;DIAFRAGMA DIAFRAGMA CUICA 30 C/ANEL . .;UN
5007474;VALVULA LAVATORIO TANQUE 1.1/2 U U;PC
5008078;PARAFUSO SM411 U U;PC
5008084;SUPORTE CR313 U U;UN
5007638;CONJUNTO ARTICULADO MAQUINA DE LOGO U U;UN
5008780;PLACA 1300MMX660MMX200MM U U;UN
5008792;PLUGUE 2P 20A C/PRENSA CABO MACHO PRETO U U;PC
5008794;PARAFUSO SX ACO RI MA 8 X 150 U U;CT
5008799;CHAVE HEXAG 1,5 A 10,0 MM 10PCS U U;PC
5007675;CABO LAN REDE P CFTV 305 MTS MULTITOC U U;PC
5008724;COLA TEKBOND 20G U U;UN
5008729;SENSOR MAGNETIC U U;UN
5007965;PORCA SXT MA 10-1,50 U U;PC
5007972;REBITE DE REPUXO 4,0X12 ALUMINIO U U;PC
5008374;PLASTICO BOLHA PLAST 1,30 X 100MT VIRGEM(AR) . .;BB
5008594;PRANCHA TAIFF CERAMICA PRETO BIVOLT U U;PC
5007775;TOTEM EM MDF . .;UN
5008749;TAPA TAPA PO CUICA . .;UN
5008750;CAIXA CAIXA FOGAO DEMA C/ INST 2 ANDARES . .;PC
5006712;DISJUNTOR TERMOMAGNETICO FIXO UNIPOLAR C 40A U U;UN
5006741;TUBO TUBO ISOLANTE ELASTOMERICO 25MM UNICA .;PC
5009673;TEE VERTICAL P/ ELETR DESCIDA 100X050 U U;UN
5008984;PONTEIRA PHILIPS 1X50 U U;PC
5009966;CHAPEU PESCADOR COM PROTECAO U U;PC
5009622;JOGO TAPETE 3 PCS SOFT ALGODAO U U;JG
5009629;DISCO RIGIDO INTERNO 4TB U U;UN
5009634;ADESIVO EM ACM U U;UN
5009642;LUVA SUPER PU 1003 CA 32034 U U;PR
5009239;CAIXA PRESS KIT INFL FAVORITA . .;MI
5009482;TP P/ CONDU ALU S/P 3 POS RET 3/4 U U;PC
5009616;BUCHA REDUCAO GALVANIZADA 3/4 X 1/2 U U;PC
5008969;SAIDA HORIZONTAL SIMPLES P/PERFILADO TIPO J 1 U U;PC
5009265;PROC INTEL CORE I5 2XXX 3.1 1155 OEM U U;UN
5008907;TORNEIRA TENERIFE LAVAT.BR. ABS ALAVANCA U U;UN
5008978;PARAFUSO FIX CH PH 5X90MM U U;UN
5009127;PARAFUSO F.P/LAV.POP-C/B.12 LATONADO C/2 U U;UN
5009184;REJUNTE REJUNTE CERAMIFIX COR CINZA . .;KG
5009645;PLACA FOTOLUMINESCENTE EXTINTOR 200X200 U U;UN
5009063;ROLAMENTO RIGIDO DE ESFERAS U U;UN
5009068;SUPORTE PENDURAR LUMINARIA U .;PC
5009076;LUVA GALVANIZADO ELETROLITICO LEVE III U U;PC
5009593;TENIS ANTIDERRAPANTE PRETO SOFT WORKS U U;PR
5009657;FACA FIXA U U;UN
5009701;AGULHA AGULHA VO104.36 SK 02 . .;UN
5009781;TRAVA KD219 U U;PC
5009783;GUIA KN204 U U;PC
5009738;CURVA PVC 1/2 S/ ROSCA U U;PC
5009748;TEE RANHURADO 2.1/2 U U;PC
5009789;MOTOR IMPORTADO NOVO MONOFASICO U U;UN
5009791;CHAPA CHAPA U U;PC
5009792;PARAFUSO PARAFUSO U U;PC
5009795;CONTRA DISCO U U;PC
5009797;PARAFUSO 1/8-44 U U;PC
5009823;FIO FLEXIVEL 0,6MM2 VERDE U U;M
5009838;DISJUNTOR TRI 70A U U;PC
5009874;ESTOJO DE VELUDO P/PLACA DE HOMENAGEM U U;PC1
5009894;BEBIDA ENERGETICO ELEV U U;UN
5009896;KIT SIRENE DP300 E ACIONADOR DE SIRENE U U;UN
5010001;EMBALAGEM 000035 . .;KG
5009878;PICOLE FRUTA UVA U U;UN
5009905;ADESIVO INSTANTANEO HS47 U U;PC
5009377;CRUZETA POLIMERICO FIBRA DE VIDRO 2,0MM . .;UN
5010061;CD MET EMB 34 DISJ DIN S/B 100A U U;PC
5010073;JOGO CHAVE TORX T10 A T50 U U;PC
5009306;SUCO TRINK LARANJA BAHIA U U;UN
5009307;SUCO TRINK MARACUJA U U;UN
5009759;ARARA CABIDEIRO COM SAPATEIRA E RODIZIOS PRETO U U;UN
5008876;PORCA OLHAL 3/8 U U;PC
5009196;GRANITO OCRE ITABIRA U .;MT
5009147;CALHA 0,7 X 330 U .;MT
5009322;TEE ESG SECUN 40MM U U;UN
5009323;FECHADURA 4511 P/ MOVEIS ACO C/ LING U U;UN
5010151;RACK SALA PARA TV 65 POLEGADAS U U;UN
5010153;MEMORIA MICRO SD 128GB U U;UN
5008924;CAIXA LIGACAO 71/80 ALUMINIO U U;UN
1157472;ENCARTE CALC.INF.S/COSTURA LAURA UNICA .;UN
5009290;COMBO FESTA 2 U U;UN
5009364;LUVA PVC SOLDAVEL 25MM U U;PC
5009367;MAO FRANCESA REFORCADA GALVANIZADA 40MM U U;PC
5009467;FIO AWG KG P BOBINAGEM MOTOR DE TURB SERIGRA U U;KG
5009486;PLUGUE P4 COM BORNE MACHO U U;PC
5010203;UNIAO RETA 12MM U U;UN
5010206;CINTA ERGON PROT CERVICAL U U;UN
5009406;BARRAMENTO BARRA DIRECAO CURTA . .;UN
5009415;OUTROS RODA DE CARGA VULKOLLAN . .;UN
5009419;MICRO RETIFICA MRV 115 220V U U;PC
5009451;VEDACAO NITRILICA P/ VEDACAO MEC SAIDA U U;UN
5010228;ADAPTADOR PVC 1 BRANCO U U;PC
5010236;CABECEIRA CAMA CASAL BOX U U;PC
5010257;ENROLADINHO A MILANESA U U;UN
5008849;PORCA OLHAL (C) 3/8 U U;PC
5009506;FITA ISOLANTE 3M 19MM U U;UN
5009341;CHAVE ALLEN CABO T 5,0MM U U;PC
5009523;ENXADA PARABONI . .;PC
5009189;SENSOR TERMICO . .;UN
5009193;GRAXA GRAXA HHS2000 WURTH SPRAY 200ML . .;UN
5009442;EMBALAGEM PP 6,5X22 . .;MI
5009059;ACIONADOR DO PEDA P/ MAQ U U;UN
5009061;CHAVE IINTERRUPTORA RETO P/ MAQ COSTURA U U;UN
5010137;REFLETOR LED 300W 6500K U U;UN
5008991;CORDA PP BRANCA 5MM U U;M
5009115;ABRACADEIRA GALVANIZADA ELETROLITICA CUNHA 1 P/ ELET U U;PC
5009250;SUPORTE E CESTO PORTA GUARDA CHUVA ACO INOX 45CM U U;UN
5009402;LANCADEIRA JUKI TITANEO BAIXA U U;UN
5008945;PUFF BANQUETA REDONDO DECOR PES PALITOS MILAO U U;UN
5008972;LACRE LACRE ANTI VIOLAVEL C2 SEMI ANALITICA . .;UN
5008973;LAMINA LAMINA LIRA/APOIODELTA/ALAVANCA AD/AL . .;PC
5008974;OUTROS LAPELA TOPTEX . .;UN
5009241;PORCA AE 1/2-20 FIOS U U;PC
5010116;GRAMPO 8MM U U;PC
5009456;PARAFUSO 5.8 SEXTAVADO 12X40 U U;PC
5010262;ATILHO ELASTICO PCT 1 KG . .;PCT
5009244;FONTE CHAVEADA 24V 20A U U;UN
5009723;PLACA FOTOLUMINESCENTE HIDRANTE 300X300 U U;PC
5008929;LUVA 2 GALVANIZADA U U;PC
5009517;TINTA ACRI PREM FOSCO BRANCO 3,6L U U;GL
5009576;CONTACTORA CWL18 220V U U;UN
5009582;COTOVELO CONDULETE 3/4 U U;UN
5009603;FECHADURA SOPRANO POPLINE INT 40X53 U U;UN
5009887;FRITADEIRA AIR FRYER BRITANIA BFR37 4,2L PRETO U U;PC
5008812;CABO FLEXIVEL 4,0MM VD U U;MT
5008813;CABO FLEXIVEL 10,0MM AZ U U;MT
5008815;CABO FLEXIVEL 10,0MM VM U U;MT
5008825;CURVA PVC BRANCO 90 BR 3/4 U U;PC
5008836;CABO FLEXIVEL 4,0MM PT U U;MT
5008839;CANALETA DUTOPLAST 50 X 50 RA U U;PC
5009640;CARCACA PARA NOTEBOOK LENOVO U U;UN
5009693;PARAFUSO SM135 U U;PC
5009694;PARAFUSO SM444 U U;PC
5009695;TAMPAO DE BORRACHA PP6190 U U;PC
5009170;CONTROLADOR DE ACESSO FACIAL SS 153 0 MF W U U;PC
5008893;CADEIRA DIRETOR COLUNA E RODIZIOS U U;UN
5009028;HASTE PRA SERRA COPO 30MM U U;PC
5009030;PARAFUSO MAQUINA CABECA CHATA 4X12 U U;PC
5009031;MANTA ASFALTICA FITA PARA TELHADO 060MM U U;M
5008886;SSD 240GB KINGSTON A400 SA400S37/240G U U;UN
5009376;CINTA P/ POSTE CIRC . .;UN
5009418;CADEIRA GIRATORIA BASE NYLON U U;UN
5010027;CD PVC SOB 1/3 DISJ U U;PC
5010028;PARAFUSO R/ SOBERBA BICRO CAB FLAN U U;PC
5010046;COLUNA P/ ESTANTE CREMA  MULT. PAREDE 199X43CM U U;PC
5010050;PRATELEIRA P/ CREMALHEIRA 60X30CM FT 15MM U U;PC
5009165;CEPO CEPO 62 CM X 36,5CM X 4,7CM . .;UN
5009500;RODA RODA DE APOIO EGU . .;PC
5009644;OUTROS TUBO METALICO DO SISTEMA . .;PC
5009199;CONECTOR PARAFUSO FENDIDO 25MM2 U U;PC
5009272;PROCESSADOR 1700 INTEL I7 12700F 2.1 GHZ 25MB U U;PC
5009274;ETIQUETA GMRL MICROSOFT REFURBISHER R20-30001 U U;PC
5009580;TUBO SOLDAVEL 40MM U U;UN
5009581;LUVA SOLDAVEL 50MM U U;UN
5009704;ROLAMENTO BR2102-E U U;PC
5010175;TOMADA PENDENTE 225 3P RED 380 VAC U U;UN
5010193;GANCHO S NUMERO 1 U U;PC
5010194;CORRENTE S/ FIM ZINCADA N 5 U U;M
5010197;LIXA DAGUA G600 U U;PC
5008970;MONITOR DE VIDEO SAMSUNG LCD 24 U U;UN
5009269;CARCACA BASE INFERIOR U U;UN
5009496;SUPORTE SUSPENCAO LONGO P/ PERFIL38X38MM U U;PC
5009547;VENTILADOR COLUNA MONDIAL 40CM 110V U U;PC
5009556;MANEQUIM FEMININO COMPLETA 3 BRACOS  OLIVIA BRANC U U;UN
5009566;TERMINAL PRESSAO MACHO 1,50-2,50MM AZUL U U;UN
5009568;TERMINAL PRESSAO FEMEA 4,00-6,00MM AMARELO U U;PC
5009436;CABO CABO DE BATERIA 35MM PRETO . .;M
5010144;PACOTE DE BOMBOM U U;U
5008826;SUPORTE SUSP SIMP HORI P CABO ACO 38X38MM U U;PC
5008829;PLUGUE MCH SIMP AXIAL 2P NBR 10A U U;PC
5008832;PLUGUE FEMEA EXTERN NBR 2P 10A U U;PC
5009397;MOTOROLA EDGE 60 FUSION 256GB U U;PC
5008881;MOTOR A GASOLINA P/ VIBRADOR E BOMBA DAGUA 7,0 U U;PC
5008917;TAMPA POLIWETZEL 2 MODULOS BRANCO U U;PC
5008920;TOMADA BARRA TRIPLA ROBUST 3P 3P+T U U;PC
5009081;OUTROS POTENCIMETRO DO ACELERADOR . .;UN
5009253;BOMBA PARA OLEO MANUAL ROTATIVA ATE SAE 90 U U;UN
5009830;VENTOINHA WEG 200 U U;UN
5009102;KISAACRIL ACETINADO 0900L U U;UN
5009174;OLEO OLEO HIDRAULICO 68 AW . .;UN
5009177;OUTROS CONTACTOR 24V EGU . .;UN
5009389;SENSOR TEMPERATURA CHICAGO ES3000 U U;PC
5009443;ORGANIZADOR TRIPLO HORIZONTAL TRANSPARENTE U U;UN
5010066;KIT ACESSORIOS DIVERSOS U U;UN
5010068;ADAPTADOR CONDULETE 1/2 U U;UN
5009222;PARAFUSO P/LAV.C/B 12 LATAO U U;UN
5009334;JOELHO PVC 45G SOLDAVEL 32MM U U;PC
5009883;ESCOVA 000011 U U;UN
5008957;ETIQUETA TAMANHO . XL;UN
5009180;PECAS BODY ATIVO . .;UN
5009236;GRAMPEADOR TAPECEIRO TITANIUM U U;UN
5009303;KIT 10 CADEIRAS COMDOM NEW PRETA U U;UN
5000044;AGULHA DPX5 134 80/12 UNICA U;UN
5000061;CONDULETE TIPO XPW UNICA U;UN
5000064;CONECTOR RJ-45 UNICA U;UN
5000077;DISJUNTOR UNIPOLAR 25A SIEMENS UNICA U;UN
5000079;CANALETA ELETRODUTO PVC TIGRE UNICA U;UN
5000081;CONEXAO EMENDA 38X38 UNICA U;UN
5000007;VESTUARIO DIVERSOS;UN
5000039;CABOS DE ACO 1/8;MT
5000121;TONER CF283A UNICA U;UN
5000139;BROCA WIDIA 6X160 UNICA U;PC
5000140;BROCA ARCO RAPIDO 12MM UNICA U;PC
5000145;PLUGUE FEMEA 2P 10A UNICA U;PC
5000153;ADAPTADOR 1 BRANCO MAXIDUTOS UNICA U;PC
5000156;JOELHO SOLDAVEL 90X25MM UNICA U;PC
5000157;TEE SOLDAVEL 90X25MM UNICA U;PC
5000160;PARAFUSO FIXO 4,5X45MM UNICA U;PC
5000162;DISJUNTOR TRIPOLAR 80 A;PC
5000170;ENCARTE IMPRESSOS 10,2X23,2 UNICA U;UN
5000180;PINO FIX PIN UNICA 45;CX
5000182;TUBETE;UN
5000189;LAMINA SERRA FITA UNICA U;UN
5000198;GABINETE 4 BAIAS FT 401(WSK) GBMK0001C UNICA U;UN
5000290;ESPUMA EXPANSIVA 500ML UNICA U;PC
5000292;TUBO COBRE 5/8 UNICA U;MT
5000242;VASSOURA NYLON UNICA U;UN
5000285;CURVA GALVANIZADA 1 UNICA U;PC
5000300;BUCHA 8 IVASA UNICA U;PC
5000318;CORRUGADO 590X390X390 RIACHUELO UNICA U;UN
5000308;TOMADA PADRAO 2P T 20A UNICA U;PC
5000601;JALECO AZUL AZUL BIC_ PP;UN
5000629;TAG TALAO 105X145MM VERDE .;ML
5000617;CANETA MARCA TEXTO VERDE .;UN
5000502;AGULHA DBX1 - 75/11 UNICA U;UN
5000503;AGULHA DBX1 - 90/14 UNICA U;UN
5000579;PRANCHETA ACRILICA CRISTAL SEM COR .;UN
5000472;CONECTOR PARAFUSO FENDIDO 16 MM2 UNICA U;PC
5000355;CABIDE A38PR 238 L PRETO U;JG
5000531;CEPO 200X400X50MM SEM COR .;UN
5000535;TAG TALAO 105X145MM VERMELHO_ .;ML
5000399;CHAVE BOIA 25A 1,2MTS KB UNICA U;PC
5000382;PLACA PEZZI 3 MODULOS 2X4 C/BASTIDOR 50530 UNICA U;PC
5000389;EMENDA 1 P/PERFILADO 38X38 CEMAR/ELETROLL UNICA U;PC
5000390;EMENDA T P/PERFILADO 38X38MM LATINA UNICA U;PC
5000393;CADEADO PAPAIZ 40MM UNICA U;PC
5000486;CORRUGADO 455X255X145 GRAZZIOTIN UNICA U;UN
5000457;LAMPADA FLUORESCENTE LED TUBULAR 40W BR UNICA U;UN
5002115;DESODORANTE PASTILHA ADESIVA;UN
5000900;CAIXA PROTECAO PLASTICA P/ 2 BATERIA UNICA U;UN
5000946;PARAFUSO TELHEIRO 16X180MM SEM COR .;UN
5000949;FITA METAL 18MM SEM COR .;ML
5000672;PLACA BORRACHA DE BOJO SEM COR .;PC
5001057;JALECO CRISDU BEGE M;UN
5001130;EXTENSAO ELETRICA . .;PC
5001139;ETIQUETA REVISORAS QUALIDADE SAPU UNICA 09;UN
5001141;ETIQUETA REVISORAS QUALIDADE SAPU UNICA 11;UN
5001144;ETIQUETA REVISORAS QUALIDADE SAPU UNICA 14;UN
5000950;TELHA 5MM 244X11MM SEM COR .;UN
5001108;"BRONZE TARUGO 9,53MM - 3/8 TM23 UNICA U""";KG
5001120;FOTOCONDUTOR DR 720 UNICA U;UN
5000933;CEPO PU 800X400X50 MM VERMELHO ESQ. S/ CINTA VERMELHO_ .;PC
5000670;SACOLA RECICLADA 60X80 5 GK UNICA U;FD
5000914;TINTAS E MATERIAIS PARA PINTURA;LT
5000916;CONEXAO BUCHA RED 50X40MM LONGA SEM COR .;PC
5000917;CONEXAO TE ESQ RED 100X50MM SEM COR .;PC
5000932;LAMPADA EMERGENCIA SEM COR .;UN
5001026;LAMINA SERRA MANUAL UNICA U;UN
5001163;MADEIRA BATENTE P/PORTA . .;PC
5001168;AGULHA 175X7 90/14 UNICA U;UN
5001174;TE ELETRICO AZUL TIGRE 25X1/2 C/B LATAO DIVERSAS .;PC
5001175;VALVULA VALVULA P/ JARDIM DIVERSAS .;PC
5001218;TAG TALAO TAG FAVORITA SEM COR .;ML
5001219;ETIQUETA REVISORA TAQ 1/14 UNICA 01;UN
5001222;ETIQUETA REVISORA TAQ 1/14 UNICA 04;UN
5001228;ETIQUETA REVISORA TAQ 1/14 UNICA 10;UN
5001231;ETIQUETA REVISORA TAQ 1/14 UNICA 13;UN
5001232;ETIQUETA REVISORA TAQ 1/14 UNICA 14;UN
5001276;TRENA 20 METROS UNICA U;UN
5001441;MANGA RASPA UNICA U;UN
5001484;BISNAGA P/ APLICAR OLEO UNICA U;UN
5001386;PLASTICO BANNER . .;UN
5001317;GIZ REFIL AZUL AZUL U;UN
5001517;BOBINA IND. DIVERSAS DV;UN
5001662;OK PRENDEDOR DE AGULHA 3AG 1/4;UN
5001677;PRODUTO NCM 33072010 UNICA .;UN
5001651;TONER UNICO;UN
5001695;TAMPO - 7991000002438;UN
5001692;ASPIRADOR GT 30N UNICA .;PC
5001693;LAVADORA ALTA PRESSAO EWS30 UNICA .;UN
5001710;MALHA 15X15 DE 2X3 MT FIO 4,2MM;UN
5001717;CHUMBO PNEU GERAL UNICA .;UN
5001726;FERROLHO GERAL UNICA .;PC
5001581;TINTA MARCADOR . U;UN
5001600;BLOCO RECIBO-CANHOTA;UN
5001602;ELASTICO MAMUTH UNICA .;PCT
5001605;REGUA PLASTICA UNICA .;UN
5001597;LEITORES DE CODIGOS DE BARRAS PI967 MINI WIRELESS;UN
5001609;BORRACHA DE APAGAR UNICA .;UN
5001611;CADERNO UNIV CD UNICA .;UN
5001750;ADESIVO GERAL UNICA .;UN
-17050;SO/CONSUMO COMUM UNICA .;LT
5001599;MAQUINA INDL IEL 2284D7P;UN
5001789;RESIST CAR AC BI 300W 230V;UN
5001854;FILTRO DE CABINE . .;PC
5001734;CABOS DE FORCA UNIVERSAL UNICA .;PC
5001698;EXPENDEDOR DE NUMEROS UNICA .;
5001700;BASE PARA PAPACOPO UNICA .;UN
5001667;CORTINA PVC CRISTAL 2230MM X 5000MM;UN
5001690;UBIQUITI UNIFI SWITCH US-24-BR UNICA .;UN
5001691;UBIQUITI UNIFI USG-BR UNICA .;UN
5001771;INSETICIDA LIQUIDO . .;UN
5001666;PONTEIRA CILINDRO JA30-10-125 P/MAQUINA;UN
5001684;PRANCHETA DE MADEIRA UNICA .;UN
5001567;APONTADOR LAPIS UNICA .;UN
5001544;FITA DEMARCACAO DE SOLO BRANCO .;RL
5001775;CEPO 800MM X 3400MM X 50MM CINZA .;UN
5001791;ESTABILIZADOR GIMBAL ISTEADY GEAR HOHEM 3 EIXOS . .;UN
5001795;NECESSAIRE GERAL . .;UN
5001649;FILTRO DE CAFE UNICA .;UN
5001797;FOTOCONDUTOR DR 620 . .;UN
5001679;PRODUTO NCM 35030019 UNICA .;UN
5001929;CELULAR;UN
5001906;FILTRO DE LINHA 05 TOMADAS 3X0,75X1,00M . .;UN
5002183;COLA PVC U. . .;UN
5001926;REGUA UNICA . .;UN
5002189;CHAVE DE FENDA U . .;UN
5002190;ALICATE UNIVERSAL U . .;UN
5002196;DISCO DE BORRACHA . .;UN
5002176;MOUSE U. . .;PC
5002177;TECLADO U. . .;PC
5002071;AGULHA FLX 118 GBS 75/11 . U;UN
5001953;GRAMPO TRILHO PLASTICO U. . .;PCT
5002221;USO/CONSUMO ETIQUETA ADESIVA BRANCA ROTULO 80X45MM UNICA U;UN
5002036;TOALHA DE ROSTO . .;UN
5001891;BATERIA/PILHA BC316 . .;UN
5001946;CASE RASPBERRY PI 3 OFICIAL PJ . .;PC
5001950;CELULAR IPHONE 6S PRATEADO 32GB . .;UN
5002239;LAMPADA U. . .;UN
5001938;EMBALAGEM CAMURCA 0,07MM 13X13 (CALCINHA) UNICA U;UN
5002134;PARAFUSO TA 25 C/ 1000 . .;UN
5001883;LAVATINA C/ SUPORTE UNICA . .;UN
5001841;CANETA MARCA TEXTO LARANJA . .;UN
5001993;CAIXA PLASTICA;UN
5002137;USO E CONSUMO TAG 35X65-3 - COUCHE 150 GR - IMP VERT UNICA U;ML
5001894;BOBINA TERMICA UNICA . .;UN
5001967;USO/CONSUMO RODA RODA EMBORRACHADA MENOR . U;PC
5002082;FUNDO FOTOGRAFICO PAPEL BRANCO U. . .;UN
5001813;JOGO PALHETAS GERAL . .;UN
5001919;ASSENTO SEM GTIN . .;UN
5001840;CABOS CFTV CAT5E 4 PARES CAIXA 305M . .;CX
